pair1-b5-tf-s3-s11907072:    77.70 +/- 18.27
pair1-b5-conv-s3-s19914752:    74.93 +/- 18.18
pair1-b5-tf-s3-s19914752:    72.58 +/- 18.25
pair1-b5-conv-s3-s7032832:    70.99 +/- 18.13
pair1-b5-tf-s3-s7032832:    70.75 +/- 18.24
pair1-b5-conv-s3-s11907072:    66.91 +/- 18.15
pair1-b5-tf-s3-s4038656:    50.42 +/- 18.02
pair1-b5-conv-s3-s4038656:    49.54 +/- 18.00
pair1-b5-tf-s3-s2994176:     3.83 +/- 17.98
pair1-b5-conv-s3-s2994176:   -70.93 +/- 18.36
pair1-b5-tf-s3-s2019328:   -91.60 +/- 18.41
pair1-b5-conv-s3-s2019328:   -93.13 +/- 18.48
pair1-b5-tf-s3-s974848:  -125.56 +/- 18.96
pair1-b5-conv-s3-s974848:  -172.37 +/- 20.08
