pair1-b5-tf-s2-s12185600:    69.09 +/- 18.09
pair1-b5-tf-s2-s20332544:    67.09 +/- 18.00
pair1-b5-tf-s2-s8216576:    63.46 +/- 18.17
pair1-b5-conv-s2-s5152768:    61.43 +/- 18.06
pair1-b5-tf-s2-s5152768:    60.35 +/- 18.10
pair1-b5-conv-s2-s20332544:    60.12 +/- 18.02
pair1-b5-conv-s2-s12185600:    56.57 +/- 17.99
pair1-b5-conv-s2-s8216576:    54.01 +/- 18.08
pair1-b5-conv-s2-s3133440:    27.52 +/- 17.90
pair1-b5-tf-s2-s3133440:   -33.62 +/- 17.94
pair1-b5-conv-s2-s2158592:  -121.77 +/- 19.04
pair1-b5-tf-s2-s2158592:  -122.64 +/- 18.89
pair1-b5-conv-s2-s1114112:  -124.95 +/- 18.93
pair1-b5-tf-s2-s1114112:  -131.85 +/- 19.08
